,City,Country,Lat,Lng,Max Temp (F),Humidity (%),Cloudiness (%),Wind Speed(mph),Date
125,surt,LY,31.21,16.59,68.45,62,0,4.85,1603490042
126,san jeronimo,PE,-11.95,-75.28,60.93,48,60,7.94,1603490042
127,kieta,PG,-6.22,155.63,83.79,68,37,1.97,1603490042
128,torit,SS,4.41,32.57,71.65,90,32,1.41,1603490043
129,san jose,US,37.34,-121.89,75.0,43,20,4.7,1603489777
130,port hawkesbury,CA,45.62,-61.35,46.4,75,1,4.7,1603490043
131,moorhead,US,46.87,-96.77,30.2,63,75,14.99,1603490043
132,bud,US,39.45,-86.18,66.2,88,96,3.36,1603490043
133,saskylakh,RU,71.92,114.08,18.99,97,100,3.22,1603489651
134,okitipupa,NG,6.5,4.78,75.0,96,55,3.13,1603490054
135,mitu,CO,1.2,-70.17,76.77,94,97,1.48,1603489401
136,krasnoselkup,RU,65.7,82.47,16.48,97,85,8.93,1603490054
137,tlacotepec,MX,20.07,-97.87,75.56,51,1,5.64,1603490054
138,krasnovishersk,RU,60.41,57.08,22.44,91,100,8.1,1603490055
139,bethanien,NA,-26.5,17.16,70.9,31,28,4.63,1603490055
140,yarada,IN,17.65,83.27,82.4,94,40,2.24,1603489655
141,palmer,US,42.16,-72.33,68.0,72,75,5.82,1603489968
142,constitucion,CL,-35.33,-72.42,56.28,66,0,14.03,1603489643
143,richards bay,ZA,-28.78,32.04,67.46,89,7,7.2,1603489666
144,kaitangata,NZ,-46.28,169.85,61.95,54,48,3.87,1603489507
145,severo-kurilsk,RU,50.68,156.12,44.47,81,100,32.59,1603489479
146,avarua,CK,-21.21,-159.78,77.0,73,75,13.87,1603489836
147,bambanglipuro,ID,-7.95,110.28,76.98,87,29,4.72,1603490056
148,lisakovsk,KZ,52.54,62.49,27.41,91,5,8.1,1603490056
149,thompson,CA,55.74,-97.86,24.8,58,90,13.87,1603489642
150,muros,ES,42.78,-9.06,59.0,88,85,10.0,1603490057
151,agadir,MA,30.42,-9.6,64.4,77,0,11.41,1603489662
152,half moon bay,US,37.46,-122.43,71.6,72,1,3.36,1603489667
153,lahat,ID,-3.8,103.53,72.7,92,100,2.24,1603490058
154,fairbanks,US,64.84,-147.72,25.0,84,1,4.54,1603489611
155,okha,RU,53.57,142.95,46.06,91,100,38.5,1603490058
156,smithers,CA,54.78,-127.17,26.6,58,75,5.82,1603490058
157,bonnyville,CA,54.27,-110.73,21.2,53,90,4.7,1603490058
158,pevek,RU,69.7,170.31,26.76,94,78,10.49,1603489662
159,malpe,IN,13.35,74.72,73.4,83,75,6.93,1603490059
160,nome,US,64.5,-165.41,33.8,86,90,16.11,1603489673
161,pemangkat,ID,1.17,108.97,78.35,81,100,3.94,1603489369
162,linares,CL,-35.85,-71.6,70.47,48,0,8.14,1603490059
163,russellville,US,35.28,-93.13,61.0,67,90,10.29,1603490059
164,lata,PT,40.16,-8.33,57.99,86,6,1.61,1603489654
165,libourne,FR,44.92,-0.25,55.99,100,0,6.93,1603490060
166,victoria,HK,22.29,114.16,73.99,46,100,16.67,1603489651
167,wick,GB,58.43,-3.08,42.8,81,1,6.93,1603490060
168,torbay,CA,47.67,-52.73,39.99,86,40,2.24,1603489647
169,mackay,AU,-21.15,149.2,77.0,78,75,9.17,1603490061
170,pitkyaranta,RU,61.57,31.48,36.14,83,100,15.5,1603490061
171,tongzi,CN,28.78,105.09,60.87,82,34,2.55,1603490061
172,bilibino,RU,68.05,166.44,16.41,89,74,0.36,1603489671
173,zapolyarnyy,RU,69.42,30.81,30.2,100,90,6.93,1603490061
174,praya,CV,14.92,-23.51,78.8,78,40,16.11,1603490062
175,golkoy,TR,40.69,37.62,59.0,100,20,4.97,1603490062
176,usinsk,RU,65.99,57.53,18.27,95,37,10.78,1603490062
177,samarinda,ID,-0.5,117.15,73.63,98,82,2.39,1603490063
178,tiksi,RU,71.69,128.87,22.78,96,100,15.32,1603489653
179,new norfolk,AU,-42.78,147.06,55.0,64,100,3.0,1603489646
180,umm lajj,SA,25.02,37.27,82.42,38,0,7.63,1603490073
181,cidreira,BR,-30.18,-50.21,68.16,90,100,15.14,1603489643
182,zvishavane,ZW,-20.33,30.07,68.81,57,0,2.8,1603490073
183,sola,VU,-13.88,167.55,77.0,94,90,17.83,1603489660
184,ulaangom,MN,49.98,92.07,32.52,91,100,3.2,1603490074
185,esperance,AU,-33.87,121.9,53.6,100,90,3.36,1603489650
186,butaritari,KI,3.07,172.79,82.26,73,100,13.2,1603489834
187,bontang,ID,0.13,117.5,77.54,86,100,6.46,1603490074
188,albion,US,42.24,-84.75,55.0,81,90,13.87,1603489456
189,bereda,ES,43.27,-7.54,60.01,82,20,11.41,1603490075
190,eureka,US,40.8,-124.16,66.0,64,0,4.0,1603490075
191,sao joao da barra,BR,-21.64,-41.05,75.2,64,0,11.41,1603489647
192,abu kamal,SY,34.45,40.92,68.16,28,97,5.82,1603490075
193,grand island,US,40.92,-98.34,35.6,55,90,20.8,1603489788
194,tura,IN,25.52,90.22,70.02,99,100,4.47,1603489667
195,lasa,IT,46.62,10.7,52.0,100,75,3.36,1603490076
196,vila franca do campo,PT,37.72,-25.43,66.2,72,75,13.87,1603489644
197,omsukchan,RU,62.53,155.8,25.21,90,18,3.51,1603489651
198,san cristobal,VE,7.77,-72.22,93.2,41,40,5.82,1603489663
199,petropavlovsk-kamchatskiy,RU,53.05,158.65,35.6,80,90,4.47,1603489666
200,kailua,US,21.4,-157.74,77.0,94,75,3.36,1603489923
201,bintulu,MY,3.17,113.03,75.2,100,20,4.7,1603490077
202,menongue,AO,-14.66,17.69,68.79,50,23,4.16,1603490077
203,kruisfontein,ZA,-34.0,24.73,68.0,82,58,1.99,1603489418
204,tual,ID,-5.67,132.75,81.91,81,22,10.92,1603490077
205,viytivka,UA,48.43,29.54,52.86,61,100,5.53,1603490077
206,vredendal,ZA,-31.67,18.5,59.23,86,5,2.98,1603490078
207,itarema,BR,-2.92,-39.92,79.56,79,35,15.46,1603489648
208,kofele,ET,7.07,38.78,47.23,76,53,4.9,1603490078
209,goderich,CA,43.75,-81.72,72.0,86,87,23.78,1603489880
210,kudat,MY,6.88,116.85,78.8,78,20,9.17,1603490078
211,stokmarknes,NO,68.56,14.91,39.0,92,75,1.99,1603489645
212,gat,IL,31.61,34.76,73.4,78,0,4.7,1603489804
213,zhangye,CN,38.93,100.45,43.23,53,0,4.92,1603490079
214,arman,RU,59.7,150.17,37.76,83,100,7.25,1603490079
215,bodrum,TR,37.04,27.43,69.8,82,0,3.36,1603489966
216,saint-philippe,RE,-21.36,55.77,71.6,68,75,4.7,1603489395
217,bathsheba,BB,13.22,-59.52,84.2,70,20,26.4,1603489644
218,shahpur chakar,PK,26.16,68.65,69.8,68,0,7.07,1603490080
219,haines junction,CA,60.75,-137.51,24.4,78,95,2.33,1603490080
220,port macquarie,AU,-31.43,152.92,66.99,99,100,8.63,1603489586
221,kargil,IN,34.57,76.1,30.33,85,3,3.67,1603490080
222,ancud,CL,-41.87,-73.82,52.0,93,75,14.99,1603489505
223,bardiyah,LY,31.76,25.09,69.73,67,70,2.06,1603490081
224,eydhafushi,MV,5.1,73.07,81.7,79,45,15.12,1603489650
225,codrington,AU,-38.27,141.97,52.32,84,75,17.13,1603490081
226,ilulissat,GL,69.22,-51.1,21.2,67,98,6.93,1603489654
227,hambantota,LK,6.12,81.12,78.57,83,9,14.67,1603489655
228,saint-augustin,CA,51.23,-58.65,34.75,82,7,0.76,1603489647
229,nuuk,GL,64.18,-51.72,28.4,74,43,4.7,1603490092
230,te anau,NZ,-45.42,167.72,55.8,71,100,8.03,1603489537
231,katsuura,JP,35.13,140.3,62.6,55,75,18.34,1603489456
232,cockburn town,TC,21.46,-71.14,82.85,77,86,16.67,1603489649
233,buraydah,SA,26.33,43.98,68.0,30,0,4.7,1603489657
234,alenquer,BR,-1.94,-54.74,89.6,59,20,8.05,1603490092
235,turka,UA,49.15,23.03,48.99,97,94,28.01,1603490093
236,arlit,NE,18.74,7.39,81.99,14,0,13.53,1603490093
237,anahuac,MX,27.23,-100.15,93.2,44,40,8.05,1603490093
238,clyde river,CA,70.47,-68.59,21.2,73,90,2.24,1603489830
239,sorong,ID,-0.88,131.25,79.57,88,99,7.87,1603490093
240,laguna,US,38.42,-121.42,79.0,15,1,4.7,1603489646
241,zhuanghe,CN,39.7,122.99,40.57,63,0,5.97,1603490094
242,lavrentiya,RU,65.58,-171.0,34.03,87,100,3.8,1603490094
243,chuy,UY,-33.7,-53.46,64.63,92,93,6.8,1603489507
244,kawalu,ID,-7.38,108.21,71.74,92,95,0.98,1603490094
245,gewane,ET,10.17,40.65,82.42,32,1,5.12,1603490095
246,grand gaube,MU,-20.01,57.66,73.4,69,20,9.17,1603489644
247,waipawa,NZ,-41.41,175.52,64.99,63,0,21.92,1603490095
248,taoudenni,ML,22.68,-3.98,88.09,12,21,9.73,1603489658
249,warri,NG,5.52,5.75,76.32,93,63,3.27,1603490095
250,yumen,CN,40.28,97.2,34.57,71,0,5.82,1603489665
251,vila velha,BR,-20.33,-40.29,69.8,94,90,4.7,1603489655
252,fort nelson,CA,58.81,-122.7,28.4,39,40,11.41,1603489502
253,hasaki,JP,35.73,140.83,57.2,82,75,5.82,1603489409
254,do gonbadan,IR,30.36,50.8,62.6,36,0,3.94,1603490096
255,montepuez,MZ,-13.13,39.0,69.8,87,16,7.34,1603490096
256,inirida,CO,3.87,-67.92,77.61,85,96,2.17,1603489833
257,asimion,GR,35.05,25.1,64.99,93,40,2.24,1603490097
258,moron,AR,-34.65,-58.62,72.0,84,69,1.99,1603489658
259,powassan,CA,46.03,-79.35,42.8,100,90,9.17,1603490097
260,pilar,BR,-9.6,-35.96,77.0,83,40,10.29,1603489665
261,otane,NZ,-39.88,176.63,66.0,72,11,2.35,1603489649
262,coihaique,CL,-45.58,-72.07,57.2,50,90,8.05,1603489669
263,tessalit,ML,20.2,1.01,85.17,14,0,11.59,1603490098
264,tigil,RU,57.8,158.67,35.4,84,2,3.69,1603490098
265,hamilton,US,39.18,-84.53,77.0,65,40,18.34,1603489503
266,la baule-escoublac,FR,47.29,-2.36,59.0,87,75,16.11,1603490099
267,ponta do sol,PT,32.67,-17.1,66.2,63,40,4.7,1603489898
268,dangriga,BZ,16.97,-88.23,91.4,63,20,5.82,1603490051
269,santa maria,BR,-29.68,-53.81,70.88,84,100,5.86,1603489800
270,novoselitskoye,RU,44.75,43.44,42.8,75,0,6.71,1603490099
271,saurimo,AO,-9.66,20.39,65.39,89,100,1.61,1603490100
272,chama,CH,47.18,8.46,55.4,82,75,6.93,1603490100
273,sidhi,IN,24.42,81.88,69.42,53,0,3.15,1603490100
274,riyadh,SA,24.69,46.72,68.0,26,0,3.36,1603490082
275,beringovskiy,RU,63.05,179.32,33.51,91,100,21.59,1603489488
276,kudahuvadhoo,MV,2.67,72.89,81.59,80,2,14.07,1603490101
277,castro,BR,-24.79,-50.01,63.43,92,33,8.34,1603489477
278,airai,TL,-8.93,125.41,63.79,100,33,0.49,1603489648
279,quime,BO,-16.98,-67.22,58.89,63,58,7.83,1603490111
280,saint-francois,FR,46.42,3.91,53.6,81,90,4.7,1603490111
281,bacungan,PH,9.91,118.7,77.0,100,90,4.7,1603490111
282,mehamn,NO,71.04,27.85,37.4,86,75,26.4,1603489960
283,hastings,GB,50.86,0.57,51.01,90,91,12.1,1603489948
284,kisanga,TZ,-7.44,37.7,77.88,70,20,5.97,1603490112
285,hudiksvall,SE,61.73,17.1,32.74,91,0,6.91,1603490083
286,kahului,US,20.89,-156.47,89.6,46,40,10.29,1603489981
287,concarneau,FR,47.88,-3.92,55.4,93,90,3.36,1603490112
288,monduli,TZ,-3.3,36.45,64.2,73,88,7.25,1603490113
289,caravelas,BR,-17.71,-39.25,73.04,90,97,6.22,1603489667
290,owerri,NG,5.48,7.03,77.0,94,40,4.7,1603490113
291,la romana,DO,18.43,-68.97,86.0,74,40,13.87,1603490113
292,leningradskiy,RU,69.38,178.42,23.16,90,0,4.23,1603489546
293,whitehorse,CA,60.72,-135.05,15.8,66,20,3.36,1603489526
294,atar,MR,20.52,-13.05,88.27,24,96,9.93,1603490114
295,alugan,PH,12.22,125.48,77.11,89,94,5.95,1603489965
296,saint-louis,SN,16.33,-15.0,87.8,43,0,2.24,1603490114
297,jalu,LY,29.03,21.55,66.51,72,15,13.89,1603489656
298,port hedland,AU,-20.32,118.57,69.8,94,0,8.05,1603490114
299,nishihara,JP,26.18,127.76,71.6,55,90,8.05,1603490114
300,alto araguaia,BR,-17.31,-53.22,75.36,76,90,6.53,1603490115
301,madang,PG,-5.22,145.8,78.94,83,53,4.72,1603490115
302,verkhnyaya inta,RU,65.98,60.31,14.04,92,1,4.27,1603490115
303,khani,GE,41.96,42.96,53.6,71,0,5.82,1603490115
304,camacha,PT,33.08,-16.33,66.2,63,40,5.82,1603490115
305,oranjestad,AW,12.52,-70.03,86.0,74,40,20.8,1603489946
306,linxia,CN,35.6,103.21,46.02,77,10,3.69,1603490116
307,yar-sale,RU,66.83,70.83,20.75,95,92,9.48,1603490116
308,quelimane,MZ,-17.88,36.89,73.4,83,0,2.62,1603490116
309,kavieng,PG,-2.57,150.8,83.86,64,28,3.78,1603489643
310,bonavista,CA,48.65,-53.11,37.99,86,62,1.01,1603490116
311,liverpool,GB,53.41,-2.98,48.2,81,0,8.05,1603489543
312,cedar city,US,37.68,-113.06,55.4,22,1,3.36,1603490117
313,astoria,US,46.19,-123.83,53.01,87,90,18.34,1603490109
314,kabanjahe,ID,3.1,98.49,77.0,100,40,2.24,1603490117
315,pudozh,RU,61.81,36.53,42.76,97,100,3.71,1603490117
316,marienburg,PL,54.04,19.03,53.01,100,97,1.61,1603490117
317,san patricio,US,28.02,-97.52,91.99,59,20,8.05,1603489664
318,wagar,SD,16.15,36.2,86.38,38,27,8.12,1603490118
319,fortuna,US,40.6,-124.16,64.0,51,1,13.87,1603489654
320,lebu,CL,-37.62,-73.65,54.59,78,100,1.36,1603489656
321,gravdal,NO,68.12,13.5,37.4,86,40,4.7,1603490118
322,anadyr,RU,64.75,177.48,23.0,92,75,4.47,1603489662
323,beyneu,KZ,45.32,55.2,39.65,68,17,11.68,1603489902
324,waingapu,ID,-9.66,120.26,79.48,75,76,2.89,1603489659
325,feltre,IT,46.02,11.91,52.0,98,100,0.69,1603490119
326,zuwarah,LY,32.93,12.08,75.31,62,0,11.9,1603490129
327,rock springs,US,41.59,-109.2,33.8,40,1,3.36,1603490129
328,fare,PF,-16.7,-151.02,79.47,72,1,9.1,1603489979
329,khilok,RU,51.37,110.47,28.65,93,0,0.87,1603490129
330,kavaratti,IN,10.57,72.64,80.15,78,92,14.29,1603489668
331,grindavik,IS,63.84,-22.43,41.0,80,40,16.11,1603489644
332,isangel,VU,-19.55,169.27,78.69,72,50,10.47,1603489536
333,katangli,RU,51.71,143.23,48.6,92,100,38.59,1603490130
334,buta,CD,2.79,24.73,70.0,93,96,1.1,1603490130
335,dakar,SN,14.69,-17.44,82.4,88,0,6.93,1603490131
336,vanavara,RU,60.34,102.28,27.9,97,90,6.73,1603490125
337,ouallam,NE,14.32,2.09,88.32,12,0,11.5,1603490131
338,hithadhoo,MV,-0.6,73.08,82.27,79,79,12.77,1603489835
339,kiama,AU,-34.68,150.87,69.01,93,98,3.0,1603489904
340,berlevag,NO,70.86,29.09,39.2,86,75,31.09,1603489668
341,aklavik,CA,68.22,-135.01,30.2,80,20,4.7,1603489656
342,chifeng,CN,42.27,118.96,36.57,71,0,7.23,1603490132
343,batagay-alyta,RU,67.8,130.41,9.91,90,100,3.36,1603490132
344,bakchar,RU,57.02,82.07,28.38,97,100,6.2,1603490132
345,imeni poliny osipenko,RU,52.42,136.49,32.14,96,100,32.41,1603490132
346,ribeira grande,PT,38.52,-28.7,66.76,77,56,20.36,1603489492
347,balsas,BR,-7.53,-46.04,83.73,53,70,3.62,1603490133
348,inzhavino,RU,52.32,42.49,53.62,86,100,9.08,1603490133
349,georgetown,MY,5.41,100.34,78.8,94,20,3.51,1603489806
350,plettenberg bay,ZA,-34.05,23.37,64.44,87,53,6.91,1603490126
351,sioux lookout,CA,50.1,-91.92,32.0,92,90,8.05,1603489993
352,kolyvan,RU,55.31,82.74,30.2,86,100,6.71,1603490134
353,luang prabang,LA,19.89,102.13,61.56,68,99,1.1,1603490134
354,iqaluit,CA,63.75,-68.51,30.2,80,90,4.7,1603489657
355,luderitz,NA,-26.65,15.16,59.68,79,0,7.2,1603489646
356,volda,NO,62.15,6.07,41.0,86,75,8.05,1603490135
357,lypova dolyna,UA,50.56,33.8,56.43,63,100,6.6,1603490135
358,maumere,ID,-8.62,122.21,79.93,80,37,3.78,1603490135
359,lydenburg,ZA,-25.1,30.46,66.99,83,0,1.45,1603490135
360,inta,RU,66.03,60.17,14.58,93,1,4.88,1603490136
361,olafsvik,IS,64.89,-23.71,44.46,80,91,22.68,1603489495
362,fauske,NO,67.26,15.39,35.01,94,96,5.55,1603490136
363,araouane,ML,18.9,-3.53,89.17,12,24,2.73,1603490136
364,mount isa,AU,-20.73,139.5,69.8,88,0,10.16,1603489674
365,mastic beach,US,40.77,-72.85,63.0,82,90,3.36,1603490136
366,markala,ML,13.7,-6.07,84.42,20,24,6.53,1603490137
367,alofi,NU,-19.06,-169.92,80.6,78,75,17.22,1603489831
368,sept-iles,CA,50.2,-66.38,37.0,69,90,10.29,1603489644
369,nantucket,US,41.28,-70.1,59.0,87,75,12.75,1603490133
370,yomou,GN,7.56,-9.27,70.54,94,44,1.03,1603490138
371,gravelbourg,CA,49.88,-106.55,18.46,90,0,2.89,1603490138
372,zyryanka,RU,65.75,150.85,15.55,94,0,6.78,1603490148
373,kidal,ML,18.44,1.41,85.53,14,0,10.0,1603490145
374,hovd,MN,48.01,91.64,36.9,68,100,3.62,1603490149
375,north bend,US,43.41,-124.22,73.0,44,90,4.7,1603489670
376,amuntai,ID,-2.42,115.25,73.94,92,95,1.3,1603490149
377,kholodnyy,RU,62.72,147.95,19.44,93,67,1.23,1603490150
378,elko,US,41.0,-115.5,55.99,16,25,8.99,1603490150
379,sonoita,MX,31.85,-112.83,90.0,23,7,5.01,1603490150
380,west wendover,US,40.74,-114.07,46.4,22,1,3.36,1603490150
381,santa cruz cabralia,BR,-16.28,-39.02,71.6,88,90,4.7,1603490150
382,mareeba,AU,-17.0,145.43,77.0,78,76,2.8,1603490150
383,fuxin,CN,42.02,121.66,37.29,69,0,3.78,1603490151
384,mwinilunga,ZM,-11.74,24.43,66.99,52,44,2.01,1603490151
385,skibotn,NO,69.39,20.27,37.4,86,75,31.09,1603490151
386,yulara,AU,-25.24,130.99,59.0,72,5,10.29,1603489651
387,talnakh,RU,69.49,88.4,-4.0,83,40,8.95,1603489375
